#,URL,cap,Libro,Abrev,total
1,https://www.vatican.va/archive/ESL0506/__P1.HTM,0,Génesis,Gn,50
2,https://www.vatican.va/archive/ESL0506/__P2.HTM,1,Génesis,Gn,50
3,https://www.vatican.va/archive/ESL0506/__P3.HTM,2,Génesis,Gn,50
4,https://www.vatican.va/archive/ESL0506/__P4.HTM,3,Génesis,Gn,50
5,https://www.vatican.va/archive/ESL0506/__P5.HTM,4,Génesis,Gn,50
6,https://www.vatican.va/archive/ESL0506/__P6.HTM,5,Génesis,Gn,50
7,https://www.vatican.va/archive/ESL0506/__P7.HTM,6,Génesis,Gn,50
8,https://www.vatican.va/archive/ESL0506/__P8.HTM,7,Génesis,Gn,50
9,https://www.vatican.va/archive/ESL0506/__P9.HTM,8,Génesis,Gn,50
10,https://www.vatican.va/archive/ESL0506/__PA.HTM,9,Génesis,Gn,50
11,https://www.vatican.va/archive/ESL0506/__PB.HTM,10,Génesis,Gn,50
12,https://www.vatican.va/archive/ESL0506/__PC.HTM,11,Génesis,Gn,50
13,https://www.vatican.va/archive/ESL0506/__PD.HTM,12,Génesis,Gn,50
14,https://www.vatican.va/archive/ESL0506/__PE.HTM,13,Génesis,Gn,50
15,https://www.vatican.va/archive/ESL0506/__PF.HTM,14,Génesis,Gn,50
16,https://www.vatican.va/archive/ESL0506/__PG.HTM,15,Génesis,Gn,50
17,https://www.vatican.va/archive/ESL0506/__PH.HTM,16,Génesis,Gn,50
18,https://www.vatican.va/archive/ESL0506/__PI.HTM,17,Génesis,Gn,50
19,https://www.vatican.va/archive/ESL0506/__PJ.HTM,18,Génesis,Gn,50
20,https://www.vatican.va/archive/ESL0506/__PK.HTM,19,Génesis,Gn,50
21,https://www.vatican.va/archive/ESL0506/__PL.HTM,20,Génesis,Gn,50
22,https://www.vatican.va/archive/ESL0506/__PM.HTM,21,Génesis,Gn,50
23,https://www.vatican.va/archive/ESL0506/__PN.HTM,22,Génesis,Gn,50
24,https://www.vatican.va/archive/ESL0506/__PO.HTM,23,Génesis,Gn,50
25,https://www.vatican.va/archive/ESL0506/__PP.HTM,24,Génesis,Gn,50
26,https://www.vatican.va/archive/ESL0506/__PQ.HTM,25,Génesis,Gn,50
27,https://www.vatican.va/archive/ESL0506/__PR.HTM,26,Génesis,Gn,50
28,https://www.vatican.va/archive/ESL0506/__PS.HTM,27,Génesis,Gn,50
29,https://www.vatican.va/archive/ESL0506/__PT.HTM,28,Génesis,Gn,50
30,https://www.vatican.va/archive/ESL0506/__PU.HTM,29,Génesis,Gn,50
31,https://www.vatican.va/archive/ESL0506/__PV.HTM,30,Génesis,Gn,50
32,https://www.vatican.va/archive/ESL0506/__PW.HTM,31,Génesis,Gn,50
33,https://www.vatican.va/archive/ESL0506/__PX.HTM,32,Génesis,Gn,50
34,https://www.vatican.va/archive/ESL0506/__PY.HTM,33,Génesis,Gn,50
35,https://www.vatican.va/archive/ESL0506/__PZ.HTM,34,Génesis,Gn,50
36,https://www.vatican.va/archive/ESL0506/__P10.HTM,35,Génesis,Gn,50
37,https://www.vatican.va/archive/ESL0506/__P11.HTM,36,Génesis,Gn,50
38,https://www.vatican.va/archive/ESL0506/__P12.HTM,37,Génesis,Gn,50
39,https://www.vatican.va/archive/ESL0506/__P13.HTM,38,Génesis,Gn,50
40,https://www.vatican.va/archive/ESL0506/__P14.HTM,39,Génesis,Gn,50
41,https://www.vatican.va/archive/ESL0506/__P15.HTM,40,Génesis,Gn,50
42,https://www.vatican.va/archive/ESL0506/__P16.HTM,41,Génesis,Gn,50
43,https://www.vatican.va/archive/ESL0506/__P17.HTM,42,Génesis,Gn,50
44,https://www.vatican.va/archive/ESL0506/__P18.HTM,43,Génesis,Gn,50
45,https://www.vatican.va/archive/ESL0506/__P19.HTM,44,Génesis,Gn,50
46,https://www.vatican.va/archive/ESL0506/__P1A.HTM,45,Génesis,Gn,50
47,https://www.vatican.va/archive/ESL0506/__P1B.HTM,46,Génesis,Gn,50
48,https://www.vatican.va/archive/ESL0506/__P1C.HTM,47,Génesis,Gn,50
